0xFFC1,0x3FAB,??
0xFFC2,0x3FAB,??
0xFFC3,0x3FAB,??
0xFFC4,0x3FAB,??
0xFFC5,0x3FAB,??
0xFFC6,0x3FAB,??
0xFFC7,0x3FAB,??
0xFFC8,0x3FAB,??
0xFFC9,0x3FAB,??
0xFFCA,0x3FAB,??
0xFFCB,0x3FAB,??
0xFFCC,0x3FAB,??
0xFFCD,0x3FAB,??
0xFFCE,0x3FAB,??
0xFFCF,0x3FAB,??
0xFFD0,0x3FAB,??
0xFFD1,0x3FAB,??
0xFFD2,0x3FAB,??
0xFFD3,0x3FAB,??
0xFFD4,0x3FAB,??
0xFFD5,0x3FAB,??
0xFFD6,0x3FAB,??
0xFFD7,0x3FAB,??
0xFFD8,0x3FAB,??
0xFFD9,0x3FAB,??
0xFFDA,0x3FAB,??
0xFFDB,0x3FAB,??
0xFFDC,0x3FAB,??
0xFFDD,0x3FAB,??
0xFFDE,0x3FAB,??
0xFFDF,0x3FAB,??
0xFFE0,0xA1E9,￠
0xFFE1,0xA1EA,￡
0xFFE2,0xA956,￢
0xFFE3,0xA3FE,￣
0xFFE4,0xA957,￤
0xFFE5,0xA3A4,￥
0xFFE6,0x3FA4,??
0xFFE7,0x3FA4,??
0xFFE8,0x3FA4,??
0xFFE9,0x3FA4,??
0xFFEA,0x3FA4,??
0xFFEB,0x3FA4,??
0xFFEC,0x3FA4,??
0xFFED,0x3FA4,??
0xFFEE,0x3FA4,??
0xFFEF,0x3FA4,??
